iter	Passed	Remaining
0	0	219
1	0	209
2	1	207
3	1	220
4	2	227
5	2	229
6	3	230
7	3	231
8	4	231
9	4	231
10	5	230
11	5	230
12	6	231
13	6	231
14	7	231
15	7	230
16	8	230
17	8	230
18	9	229
19	9	229
20	10	229
21	10	226
22	10	224
23	11	222
24	11	221
25	12	219
26	12	219
27	12	218
28	13	218
29	13	218
30	14	217
31	14	217
32	15	216
33	15	216
34	16	216
35	16	215
36	17	215
37	17	215
38	18	214
39	18	213
40	18	210
41	19	209
42	19	211
43	20	211
44	20	210
45	21	212
46	21	211
47	22	211
48	23	213
49	23	212
50	24	212
51	24	212
52	25	213
53	25	213
54	26	212
55	26	212
56	27	211
57	27	211
58	28	211
59	28	210
60	29	210
61	29	209
62	30	209
63	30	208
64	31	208
65	31	207
66	32	206
67	32	207
68	33	206
69	33	206
70	34	206
71	34	205
72	35	205
73	35	204
74	35	203
75	36	203
76	36	202
77	37	202
78	37	201
79	38	201
80	38	200
81	39	199
82	39	198
83	40	198
84	40	198
85	41	197
86	41	197
87	42	196
88	42	196
89	42	195
90	43	195
91	43	194
92	44	194
93	44	193
94	45	193
95	45	193
96	46	193
97	47	193
98	47	192
99	48	192
100	48	191
101	49	191
102	49	190
103	50	190
104	50	190
105	51	189
106	51	189
107	51	188
108	52	188
109	52	187
110	53	186
111	53	186
112	54	185
113	54	186
114	55	185
115	55	185
116	56	184
117	56	184
118	57	183
119	57	183
120	58	182
121	58	182
122	59	182
123	60	182
124	60	181
125	61	181
126	61	180
127	61	179
128	62	179
129	63	179
130	63	179
131	64	178
132	64	178
133	65	178
134	65	177
135	66	177
136	66	176
137	67	176
138	67	176
139	68	175
140	68	175
141	69	174
142	69	174
143	70	173
144	70	172
145	71	172
146	71	171
147	72	171
148	72	170
149	73	170
150	73	170
151	74	169
152	74	169
153	75	168
154	75	168
155	75	167
156	76	167
157	76	166
158	77	166
159	77	165
160	78	165
161	78	164
162	79	163
163	79	163
164	80	163
165	80	162
166	81	162
167	81	161
168	82	161
169	82	160
170	83	160
171	83	159
172	84	159
173	84	158
174	85	158
175	85	157
176	86	157
177	86	156
178	87	156
179	87	155
180	88	155
181	88	154
182	89	154
183	89	153
184	90	153
185	90	152
186	91	152
187	91	151
188	91	151
189	92	151
190	93	150
191	93	150
192	94	149
193	94	149
194	94	148
195	95	147
196	95	147
197	96	146
198	96	146
199	97	145
200	97	145
201	98	144
202	98	144
203	99	143
204	99	143
205	100	142
206	100	142
207	101	141
208	101	141
209	102	141
210	102	140
211	103	140
212	103	139
213	104	139
214	104	138
215	105	138
216	105	137
217	106	137
218	106	136
219	107	136
220	107	135
221	108	135
222	108	134
223	108	134
224	109	133
225	109	133
226	110	132
227	110	132
228	111	131
229	112	131
230	112	131
231	113	130
232	113	130
233	113	129
234	114	129
235	115	128
236	115	128
237	115	127
238	116	127
239	116	126
240	117	126
241	117	125
242	118	125
243	118	124
244	119	124
245	119	123
246	120	123
247	120	122
248	121	122
249	121	121
250	122	121
251	122	120
252	123	120
253	123	119
254	123	119
255	124	118
256	124	118
257	125	117
258	125	117
259	126	116
260	126	116
261	127	115
262	127	115
263	128	114
264	128	114
265	129	113
266	129	113
267	130	112
268	130	112
269	131	111
270	131	111
271	131	110
272	132	110
273	132	109
274	133	108
275	133	108
276	134	107
277	134	107
278	134	106
279	135	106
280	135	105
281	136	105
282	136	105
283	137	104
284	137	103
285	138	103
286	138	102
287	139	102
288	139	101
289	140	101
290	140	101
291	141	100
292	141	100
293	142	99
294	142	99
295	143	98
296	143	98
297	143	97
298	144	97
299	144	96
300	145	96
301	145	95
302	146	95
303	146	94
304	147	94
305	147	93
306	148	93
307	148	92
308	148	92
309	149	91
310	149	91
311	150	90
312	150	90
313	151	89
314	151	89
315	152	88
316	152	88
317	153	87
318	153	87
319	154	86
320	154	86
321	155	85
322	155	85
323	156	84
324	156	84
325	157	83
326	157	83
327	158	82
328	158	82
329	159	81
330	159	81
331	159	80
332	160	80
333	160	79
334	161	79
335	161	78
336	162	78
337	162	77
338	162	77
339	163	76
340	163	76
341	164	75
342	164	75
343	165	74
344	165	74
345	166	74
346	166	73
347	167	73
348	167	72
349	168	72
350	168	71
351	169	71
352	169	70
353	170	70
354	170	69
355	171	69
356	171	68
357	172	68
358	172	67
359	173	67
360	173	66
361	174	66
362	174	65
363	175	65
364	175	64
365	176	64
366	176	64
367	177	63
368	177	63
369	178	62
370	178	62
371	179	61
372	179	61
373	180	60
374	180	60
375	181	59
376	181	59
377	182	58
378	182	58
379	183	57
380	183	57
381	184	56
382	184	56
383	185	55
384	185	55
385	185	54
386	186	54
387	186	53
388	187	53
389	187	52
390	188	52
391	188	52
392	189	51
393	189	51
394	190	50
395	190	50
396	191	49
397	191	49
398	192	48
399	192	48
400	193	47
401	193	47
402	194	46
403	194	46
404	194	45
405	195	45
406	195	44
407	196	44
408	196	43
409	197	43
410	197	42
411	198	42
412	198	41
413	199	41
414	199	40
415	200	40
416	200	39
417	201	39
418	201	39
419	202	38
420	202	38
421	203	37
422	203	37
423	204	36
424	204	36
425	205	35
426	205	35
427	206	34
428	206	34
429	207	33
430	207	33
431	208	32
432	208	32
433	209	31
434	209	31
435	210	30
436	210	30
437	211	29
438	211	29
439	212	28
440	212	28
441	213	27
442	213	27
443	214	27
444	214	26
445	215	26
446	216	25
447	216	25
448	217	24
449	217	24
450	218	23
451	218	23
452	219	22
453	220	22
454	220	21
455	221	21
456	221	20
457	222	20
458	222	19
459	223	19
460	224	18
461	224	18
462	224	17
463	225	17
464	225	17
465	226	16
466	226	16
467	227	15
468	227	15
469	228	14
470	228	14
471	229	13
472	229	13
473	230	12
474	230	12
475	231	11
476	231	11
477	232	10
478	232	10
479	233	9
480	233	9
481	234	8
482	234	8
483	235	7
484	235	7
485	236	6
486	236	6
487	237	5
488	237	5
489	238	4
490	238	4
491	239	3
492	239	3
493	240	2
494	240	2
495	241	1
496	241	1
497	242	0
498	242	0
499	243	0
